timestamp,bytes_in,bytes_out
2025-01-01 00:00:00,818,497
2025-01-01 00:01:00,698,384
2025-01-01 00:02:00,292,336
2025-01-01 00:03:00,519,321
2025-01-01 00:04:00,598,813
2025-01-01 00:05:00,506,338
2025-01-01 00:06:00,680,780
2025-01-01 00:07:00,999,288
2025-01-01 00:08:00,557,745
2025-01-01 00:09:00,164,397
2025-01-01 00:10:00,914,448
2025-01-01 00:11:00,259,872
2025-01-01 00:12:00,731,52
2025-01-01 00:13:00,476,102
2025-01-01 00:14:00,344,588
2025-01-01 00:15:00,670,640
2025-01-01 00:16:00,702,818
2025-01-01 00:17:00,463,773
2025-01-01 00:18:00,470,711
2025-01-01 00:19:00,690,233
2025-01-01 00:20:00,182,689
2025-01-01 00:21:00,833,727
2025-01-01 00:22:00,213,813
2025-01-01 00:23:00,884,294
2025-01-01 00:24:00,642,303
2025-01-01 00:25:00,921,522
2025-01-01 00:26:00,110,541
2025-01-01 00:27:00,391,664
2025-01-01 00:28:00,305,184
2025-01-01 00:29:00,550,659
2025-01-01 00:30:00,278,177
2025-01-01 00:31:00,359,617
2025-01-01 00:32:00,197,224
2025-01-01 00:33:00,593,690
2025-01-01 00:34:00,179,240
2025-01-01 00:35:00,329,413
2025-01-01 00:36:00,304,540
2025-01-01 00:37:00,487,689
2025-01-01 00:38:00,600,184
2025-01-01 00:39:00,251,899
2025-01-01 00:40:00,431,203
2025-01-01 00:41:00,287,257
2025-01-01 00:42:00,416,148
2025-01-01 00:43:00,360,411
2025-01-01 00:44:00,161,286
2025-01-01 00:45:00,755,155
2025-01-01 00:46:00,862,77
2025-01-01 00:47:00,118,681
2025-01-01 00:48:00,208,606
2025-01-01 00:49:00,768,577
2025-01-01 00:50:00,780,398
2025-01-01 00:51:00,117,323
2025-01-01 00:52:00,175,841
2025-01-01 00:53:00,334,214
2025-01-01 00:54:00,698,63
2025-01-01 00:55:00,255,469
2025-01-01 00:56:00,997,222
2025-01-01 00:57:00,515,822
2025-01-01 00:58:00,238,401
2025-01-01 00:59:00,609,483
2025-01-01 01:00:00,838,858
2025-01-01 01:01:00,207,627
2025-01-01 01:02:00,890,423
2025-01-01 01:03:00,402,544
2025-01-01 01:04:00,847,769
2025-01-01 01:05:00,570,411
2025-01-01 01:06:00,314,138
2025-01-01 01:07:00,982,296
2025-01-01 01:08:00,932,767
2025-01-01 01:09:00,580,236
2025-01-01 01:10:00,187,308
